Country,ISO3 code,APEC member? Y/N,Entry_into_force_date,Simple_signature_date,ratification_date,acceptance_date,approval_date,accession_date,
Albania,ALB,N,2017-05-07,,,,,2017-04-07,
Angola,AGO,N,,2009-11-22,,,,,
Australia,AUS,Y,2016-06-05,2010-04-27,2015-07-20,,,,
Austria,AUT,N,2016-06-05,,,,2011-07-07,,
Bahamas,BHS,N,2016-11-06,,,,,2016-10-07,
Bangladesh,BGD,N,2020-01-21,,,,,2019-12-20,
Barbados,BRB,N,2016-06-05,,,,,2016-02-02,
Belgium,BEL,N,2016-06-05,,,,2011-07-07,,
Benin,BEN,N,,2010-09-28,,,,,
Brazil,BRA,N,,2009-11-22,,,,,
Bulgaria,BGR,N,2016-06-05,,,,2011-07-07,,
Cambodia,KHM,N,2020-01-06,,,,,2019-12-06,
Canada,CAN,Y,2019-07-20,2010-11-19,2019-06-20,,,,
Cape Verde,CPV,N,2016-07-23,,,,,2016-06-23,
Chile,CHL,Y,2016-06-05,2009-11-22,2012-08-28,,,,
Costa Rica,CRI,N,2016-06-05,,,,,2015-12-04,
Côte d'Ivoire,CIV,N,2019-11-24,,,,,2019-10-23,
Croatia,HRV,N,2016-06-05,,,,2011-07-07,,
Cuba,CUB,N,2016-06-05,,,,,2016-03-25,
Cyprus,CYP,N,2016-06-05,,,,2011-07-07,,
Czechia,CZE,N,2016-06-05,,,,2011-07-07,,
Denmark*,DNK,N,2017-12-28,,,,,2017-11-28,
Djibouti,DJI,N,2017-12-27,,,,,2017-11-27,
Dominica,DMA,N,2016-06-05,,,,,2016-05-06,
Ecuador,ECU,N,2019-03-07,,,,,2019-02-05,
European Union,,N,2016-06-05,,,,2011-07-07,,
Estonia,EST,N,2016-06-05,,,,2011-07-07,,
Fiji,FJI,N,2019-03-15,,,,,2019-02-13,
Finland,FIN,N,2016-06-05,,,,2011-07-07,,
France*,FRA,N,2016-08-10,2010-11-19,,,2016-07-11,,
Gabon,GAB,N,2016-06-05,2010-04-26,,2013-11-15,,,
Gambia,GMB,N,2016-08-28,,,,,2016-07-29,
Germany,DEU,N,2016-06-05,,,,2011-07-07,,
Ghana,GHA,N,2016-12-29,2010-10-28,2016-11-29,,,,
Greece,GRC,N,2016-06-05,,,,2011-07-07,,
Grenada,GRD,N,2016-07-17,,2016-05-06,,,2016-06-17,
Guinea,GIN,N,2016-07-03,,,,,2016-06-03,
Guyana,GUY,N,2016-06-05,,,,,2016-03-07,
Hungary,HUN,N,2016-06-05,,,,2011-07-07,,
Iceland,ISL,N,2016-06-05,2009-11-22,2015-06-16,,,,
Indonesia,IDN,Y,2016-07-23,2009-11-22,2016-06-23,,,,
Ireland,IRL,N,2016-06-05,,,,2011-07-07,,
Italy,ITA,N,2016-06-05,,,,2011-07-07,,
Japan,JPN,Y,2017-06-16,,,,,2017-05-17,
Kenya,KEN,N,2017-09-22,2010-11-19,2017-08-23,,,,
Latvia,LVA,N,2016-06-05,,,,2011-07-07,,
Liberia,LBR,N,2019-06-20,,,,,2019-05-21,
Libya,LBY,N,2019-01-04,,,,,2018-12-05,
Lithuania,LTU,N,2016-06-05,,,,2011-07-07,,
Luxembourg,LUX,N,2016-06-05,,,,2011-07-07,,
Madagascar,MDG,N,2017-04-26,,,,,2017-03-27,
Maldives,MDV,N,2017-04-15,,,,,2017-03-16,
Malta,MLT,N,2016-06-05,,,,2011-07-07,,
Mauritania,MRT,N,2017-02-22,,,,,2017-01-23,
Mauritius,MUS,N,2016-06-05,,,,,2015-08-31,
Montenegro,MNE,N,2017-06-16,,,,,2017-05-17,
Mozambique,MOZ,N,2016-06-05,2010-11-04,2014-08-19,,,,
Myanmar,MMR,N,2016-06-05,,,,,2010-11-22,
Namibia,NAM,N,2017-08-17,,,,,2017-07-18,
Netherlands,NLD,N,2016-06-05,,,,2011-07-07,,
New Zealand,NZL,Y,2016-06-05,2009-12-15,2014-02-21,,,,
Nicaragua ,NIC,N,2020-09-15,,,,,2020-08-14,
Norway,NOR,N,2016-06-05,2009-11-22,2011-07-20,,,,
Oman,OMN,N,2016-06-05,,,,,2013-08-01,
Palau,PLW,N,2016-06-05,,,,,2015-11-30,
Panama,PAN,N,2016-12-21,,,,,2016-11-21,
Peru,PER,Y,2017-10-27,2010-03-03,2017-09-27,,,,
Philippines,PHL,Y,2018-06-25,,,,,2018-05-26,
Poland,POL,N,2016-06-05,,,,2011-07-07,,
Portugal,PRT,N,2016-06-05,,,,2011-07-07,,
Romania,ROU,N,2016-06-05,,,,2011-07-07,,
Russia,RUS,Y,2021-01-07,2010-04-29,2020-12-08,,,,
Saint Kitts and Nevis,KNA,N,2016-06-05,,,,,2015-12-09,
Saint Vincent and the Grenadines,VCT,N,2016-07-23,,,,,2016-06-23,
Samoa,WSM,N,,2009-11-22,,,,,
Sao Tome and Principe,STP,N,2016-12-22,,,,,2016-11-22,
Senegal,SEN,N,2017-04-22,,,,,2017-03-23,
